Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"3C 064-18391, 3C 064 - 18391",Pino Daniele,Pino Daniele,"EMI, EMI","LP, Album, Ltd, RE",,2015,8567321,Uncategorized,2021-08-21 03:28:13,,,
"7243 5 39821 2 6, 539 8212",David Bowie,Best Of Bowie,"EMI, EMI","2xCD, Comp, RM",,2002,2368260,Uncategorized,2022-03-04 15:28:40,,,
ENMX-10,Chaperone (2),Jazz From the Shelter,enmossed,"Cass, Ltd",,2020,15741631,Uncategorized,2022-03-04 10:34:02,,,
ENXPL02,Sebastiano Carghini,Blue,"enmossed, Psychic Liberation","Cass, Album, Ltd",,2020,15894865,Uncategorized,2020-10-21 22:25:56,,,
ENXPL08,Russian Tsarlag / Secret Boyfriend,Russian Tsarlag / Secret Boyfriend,"enmossed, Psychic Liberation","Cass, Album, Ltd",,2021,20154850,Uncategorized,2022-03-04 08:56:23,,,
88985377712,Travis Scott (2),Birds In The Trap Sing McKnight,"Epic, Grand Hustle","CD, Album",,2016,9437277,Uncategorized,2022-03-04 11:43:32,,,
88697453172,Incubus (2),Monuments And Melodies,"Epic, Immortal Records (3), Sony Music","2xCD, Comp, Dig",,2009,3850273,Uncategorized,2022-03-04 15:29:48,,,
19439799031,The Jimi Hendrix Experience,Live In Maui,"Experience Hendrix, Legacy, Sony Music","Ltd + 3xLP, Album + Blu-ray, Multichannel, Dig",,2020,16427592,Uncategorized,2021-07-05 02:09:51,,,
RTDCD 67,Joy Division,Unknown Pleasures,"Factory, Rough Trade","CD, Album, RE",,1988,325441,Uncategorized,2022-03-04 14:44:42,,,
JSLAFCD01,Jorja Smith,Lost & Found,FAMM (2),"CD, Album",,2018,12995606,Uncategorized,2022-03-04 15:24:17,,,
"0025218000222, FCD-CCR-2",Creedence Clearwater Revival Featuring John Fogerty,Chronicle (The 20 Greatest Hits),"Fantasy, Fantasy","CD, Comp, RE, RM",,0,21882454,Uncategorized,2022-03-04 14:39:48,,,
none,The Dub Organiser,The Herb,Fashion Records,"7""",,2021,18205912,Uncategorized,2021-07-04 13:29:04,,,
FOD001,Ascot/Ww,Welcome To The Wicked Land,Fear Of Dog,"12"", EP",,2020,16285935,Uncategorized,2021-07-05 02:09:22,,,
FOD002,Mike Ash,Bleep Yourself,Fear Of Dog,"12"", EP",,2021,19620880,Uncategorized,2022-03-16 17:13:07,,,
982 183-8,The Cure,Pornography,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,2005,7612600,Uncategorized,2022-03-04 11:58:30,,,
FT006,Andy Mac (7),"First & Last, Sennen",Fleetway Tapes,"Cass, Mixtape",,2021,18693550,Uncategorized,2022-03-04 11:04:29,,,
"CDFOODS 89, 7243 8 83570 2 9, 72438835702 9, 72438",Blur,Beetlebum,"Food, Parlophone, Parlophone, Parlophone, EMI","CD, Single, CD2",,1997,663446,Uncategorized,2021-06-10 10:41:44,Near Mint (NM or M-),Near Mint (NM or M-),
FSD 018,Ranking Dread,Africa,Freedom Sounds,"7"", Single, RE",,2010,2761490,Uncategorized,2021-07-04 13:33:52,,,
FKR051-2,The Drums (2),Portamento,Frenchkiss Records,"CD, Album",,2011,3706774,Uncategorized,2021-06-10 10:41:44,Near Mint (NM or M-),Near Mint (NM or M-),
FRJ016,Atki2,Galaxy Zoo ,Frijsfo Beats,"7""",,2014,5861164,Uncategorized,2021-07-04 13:27:08,,,
FRINGE WHITE 002,Lurka / Batu (4),Kneqq / Struck,Fringe White,"12"", W/Lbl",,2017,9914490,Picks,2019-05-02 20:13:03,Mint (M),Generic,
FRINGEWHITE001,"Batu (4), Lurka",Fringe White EP,Fringe White,"12"", Ltd",,2016,8419453,Picks,2019-05-01 21:55:57,Near Mint (NM or M-),Generic,
FRINGEWHITE003,Batu (4) & Lurka,Curved,Fringe White,"12"", Ltd",,2020,14746498,Uncategorized,2020-03-02 21:54:33,Mint (M),Generic,
FUCKPUNK002RP,Asda,Three Tracks,FuckPunk,"10"", RP",,2018,12185465,Uncategorized,2020-09-22 18:20:22,,,
FUCKPUNK005,MXLX,^___^,FuckPunk,"12"", Album",,2015,7788384,Uncategorized,2021-07-05 01:51:43,,,
FUCKPUNK008,DJ APE,C.Giles Showed Me Some Shit / Untitled FIII,FuckPunk,"8"", Shape",,2016,9561358,Uncategorized,2021-07-04 13:40:52,,,
FUCKPUNK010,Bad Tracking,Clanger,FuckPunk,"12""",,2018,12185436,Uncategorized,2021-07-05 01:51:20,,,
FUCKPUNK2K20,DJ Oa$is,Goat Life,FuckPunk,"7""",,2020,15932634,Uncategorized,2020-09-22 18:19:59,,,
FT049,Seekers International,BadmanBoogie / KillDemSound,Future Times,"7""",,2019,14460199,Uncategorized,2021-08-21 03:44:43,,,
"AOS-004, AOS-1",Omar-S / Oasis (3),004,"FXHE Records, FXHE Records","12"", W/Lbl, Sta",,2016,9060418,Uncategorized,2022-03-23 03:48:17,Mint (M),Mint (M),
GT-004,Gaia Tones,#004,Gaia Tones,"7""",,2020,17095398,Uncategorized,2022-01-11 04:32:08,,,
GT001,Gaia Tones,#001,Gaia Tones,"12""",,2019,14301385,Uncategorized,2021-06-15 03:53:45,Mint (M),Mint (M),
GT002,Gaia Tones,#002,Gaia Tones,"12""",,2020,14850790,Uncategorized,2021-06-15 03:53:45,Mint (M),Mint (M),
GT003,Gaia Tones,#003,Gaia Tones,"12""",,2020,15677790,Uncategorized,2021-06-15 03:53:45,Mint (M),Mint (M),
B0017838-02,Chief Keef,Finally Rich,"Glory Boyz Entertainment, Interscope Records","CD, Album",,2012,7143154,Uncategorized,2022-03-04 11:55:50,,,
"828 553 - 2, 828 553-2",Portishead,Dummy,"Go! Beat, Go! Beat","CD, Album",,1994,12393262,Uncategorized,2022-03-04 15:46:28,,,
GMV08,D.K. (10),The Ancient Kingdom,Good Morning Tapes,"12"", EP",,2021,17936887,Uncategorized,2022-03-23 03:48:17,Mint (M),Mint (M),
GMV09,Tapes (2),Silence Please,Good Morning Tapes,"LP, MiniAlbum",,2021,18306154,Uncategorized,2022-02-17 05:15:28,,,
gca009,DJ Lag,Stampit ,Goon Club Allstars,"12"", EP",,2018,12641402,Picks,2019-05-01 21:13:42,Mint (M),Mint (M),
GOR-009,Barry Brown,Politician,Gorgan,"7"", RE",,0,4134918,Uncategorized,2020-09-20 08:27:23,Near Mint (NM or M-),,
GOR-012,Johnny Clarke / Jah Stitch,A Man Like Me / Greedy Girl,Gorgan,"7"", RE",,0,3408380,Uncategorized,2020-10-21 22:23:32,,,
00,Big Hands (3),A / B (Big Hands Remix),Graft Label,"12""",,2021,20774446,Uncategorized,2022-01-12 15:58:26,,,
GREL170,Augustus Pablo,King David's Melody,Greensleeves Records,"LP, Album, RE",,2017,9841813,Uncategorized,2020-06-19 06:41:39,Mint (M),Mint (M),
SPCTR011,Heith,Laguna,Haunter Records,"10"", EP, Ltd",,2018,12625236,Uncategorized,2020-09-19 22:20:35,Mint (M),,
HDL004,Headless Horseman (3),Headless Horseman 004,Headless Horseman,"12"", W/Lbl",,2014,5321501,Uncategorized,2021-06-01 06:41:32,Very Good Plus (VG+),Generic,
HEK 025,Hodge (3),HEK025,Hemlock Recordings,"2x12"", EP",,2015,6678424,Picks,2019-05-02 20:14:34,Mint (M),Mint (M),
